Thời Gian,ID Xe,Loại Phương Tiện,Tốc Độ (km/h),Biển Số,Trạng Thái
2026-06-13 13:56:06,181,Xe tải,0,Không rõ,Bình Thường
2026-06-13 13:56:06,178,Xe tải,0,Không rõ,Bình Thường
2026-06-13 13:56:06,187,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:56:06,188,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:56:07,189,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:56:08,186,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:56:08,191,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:56:08,194,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:56:09,195,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:56:34,190,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:56:34,180,Xe tải,0,Không rõ,Bình Thường
2026-06-13 13:56:34,204,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:56:35,181,Xe tải,0,Không rõ,Bình Thường
2026-06-13 13:56:35,178,Xe tải,0,Không rõ,Bình Thường
2026-06-13 13:56:35,188,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:56:35,189,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:56:35,207,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:56:37,206,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:56:37,191,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:56:37,194,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:56:37,195,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:56:38,198,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:56:38,209,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:56:38,210,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:56:38,211,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:56:39,201,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:56:39,167,Ô tô,0,Không rõ,Bình Thường
